Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,1,1,1
4,1,1,1,1,1
5,0,0,0,0,0
6,1,1,1,1,1
7,1,1,0,0,0
8,1,1,0,0,0
9,0,0,0,0,0
10,1,1,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,1,1,0,0,0
14,0,0,0,0,0
15,1,1,1,1,0
16,1,1,1,1,1
17,0,0,0,0,0
18,0,0,0,0,0
19,1,1,1,1,1
20,0,0,0,0,0
21,1,1,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,1,0,0,0,0
25,0,0,0,0,0
26,1,1,1,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,1,0,0,0,0
30,0,0,0,0,0
31,1,1,1,1,0
32,0,0,0,0,0
33,1,1,1,1,1
34,1,0,0,0,0
35,1,1,0,0,0
36,1,1,1,1,1
37,0,0,0,0,0
38,1,0,0,0,0
39,1,1,1,1,0
40,1,0,0,0,0
41,1,1,1,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,0,0,0
45,0,0,0,0,0
46,1,1,1,0,0
47,1,0,0,0,0
48,1,0,0,0,0
49,0,0,0,0,0
50,1,1,0,0,0
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,1,0,0,0,0
56,1,0,0,0,0
57,1,0,0,0,0
58,1,1,1,1,1
59,1,0,0,0,0
60,1,1,0,0,0
61,1,1,0,0,0
62,1,1,1,1,1
63,1,1,1,0,0
64,0,0,0,0,0
65,1,1,1,0,0
66,1,1,1,1,0
67,1,1,1,0,0
68,1,0,0,0,0
69,1,1,0,0,0
70,1,1,1,1,1
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,0,0,0,0,0
77,1,1,0,0,0
78,1,0,0,0,0
79,1,1,1,1,1
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,1,1,1,0,0
85,0,0,0,0,0
86,1,0,0,0,0
87,1,1,0,0,0
88,1,1,1,1,1
89,0,0,0,0,0
90,1,1,1,0,0
91,1,0,0,0,0
92,1,1,1,1,1
93,0,0,0,0,0
94,1,1,1,1,1
95,1,1,1,1,0
96,1,1,1,1,1
97,1,0,0,0,0
98,1,1,1,0,0
99,1,1,1,1,1
100,1,0,0,0,0
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,1,1,0
104,0,0,0,0,0
105,1,1,1,0,0
106,1,1,1,1,1
107,1,0,0,0,0
108,0,0,0,0,0
109,1,1,1,0,0
110,0,0,0,0,0
111,1,1,1,1,1
112,1,1,1,0,0
113,1,1,1,1,1
114,0,0,0,0,0
115,1,1,1,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,1,0,0,0,0
119,1,0,0,0,0
120,1,1,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,1,1,1,1,1
125,1,1,1,1,0
126,1,1,1,1,1
127,1,1,1,0,0
128,0,0,0,0,0
129,1,1,1,0,0
130,0,0,0,0,0
131,1,1,1,1,1
132,1,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,1,1,1,1,1
136,1,0,0,0,0
137,1,0,0,0,0
138,1,1,1,1,1
139,1,1,0,0,0
140,1,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1,1,1,0,0
145,1,1,0,0,0
146,1,0,0,0,0
147,0,0,0,0,0
148,1,1,1,1,0
149,1,1,1,1,1
150,1,1,1,1,0
151,1,0,0,0,0
152,1,1,1,1,1
153,1,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,1,1,1,1,1
157,1,0,0,0,0
158,1,1,0,0,0
159,0,0,0,0,0
160,1,1,1,1,1
161,1,1,1,1,0
162,0,0,0,0,0
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,1,0,0,0,0
170,1,1,0,0,0
171,1,1,1,1,1
172,1,0,0,0,0
173,1,0,0,0,0
174,1,1,0,0,0
175,1,1,1,0,0
176,1,1,1,1,1
177,0,0,0,0,0
178,1,1,1,1,1
179,1,1,1,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,0,0,0,0,0
183,0,0,0,0,0
184,1,1,0,0,0
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,0,0,0
189,1,1,1,1,0
190,1,1,1,1,1
191,1,1,0,0,0
192,1,1,0,0,0
193,1,1,1,0,0
194,1,1,0,0,0
195,1,1,1,0,0
196,1,1,0,0,0
197,1,1,0,0,0
198,1,1,1,1,1
199,1,0,0,0,0
200,1,1,0,0,0
